Input,Target
ну почему ничего не делать можно рыбу ловить серфить, коктейли бадяжить как тебя зовтут зовут
не попадаю по кнопкам Аленка, и мне о привезли когото побегу смотреть
привет, Я Михаил
приятно познакомитьсяя как раз не женат чем занимаетесь по жизни, вы стюардесса бывшая
оя тоже у нас нашлось чтото общее, любите животных у меня две собачки
когда на работу хожу не с кем оставлять  работатрудная запаристая работаю автослесарем но очень люблю автомобили аллергияэто плохо, спасибо может еще чтото о вас
надо обязательно какнибудь вместе сходить, а что с сетрой я из Минска
аааану у вас времени много, Я очень люблю музыку
А что любите вы Дела отлично Как у вас, Это мое любимое занятие ха Но перед едой я конечно же сначала поплаваю
Да согласен танцы мне знакомы я иногда танцую когдапутешествую  А где вы живете, конечно же
Приезжайте ко мнея живу за городом когда вас ожидать, ок Ладно до завтрамне нужно бежать
привет кто ты ауу, работаешь кира или учишься
а кем, я учусь
как ты любишь проводить время и собак и кошек вообще животных люблю и детей люблюесть крестник а у тебя есть дети, много 
кто, не знаю кто это
Привет, Андрей А вас Чем занимаетесь
Я преподаватель в университете, В свободное время увлекаюсь рыбалкой и охотой Попадаю программирование
Не очень , А вы чем занимаетесь в свободное время Есть хобби
Вы пенсионер, Привет
Давай знакомиться, А я домохозяйка у меня нет работв Ты любишь животных
А у меня кот, А я люблю своего мужа  У тебя есть мечта
А я очень хочу на море У тебя дети есть, Привет
Где ты жившь Я в Украине, Люблю природу Мо хобби вязание очень люблю связать своим деткамчто то интересное Чем ты занимаешься
Да двоеа у тебя На кого учишься, Какие планы на будущее
Так на кого учишьсяна фотографа, Я планирую путешествовать буду тоже много фотографировать да природу обожаю
На кого охотишься, Круто
Огоне страшно, хах
Мне всех животных жалко, Не ну камаров терпеть не могу Они мерзкие Насекомых не люблюдаже некоторых боюсь
Привет, Давай
Меня зовут Мария я фрилансер Редко занимаюсь спортом но очень люблю, Не люблю бег предпочитаю лыжи Время по утрам оченьценю Очень люблю путешествовать
Это просто научишься, Нет я плохой учитель
Хорошо, Нет спасибо Какая у тебя профессия 
Ок, И тебе спасибо
, привет как тебя зовут
а меня Аня и я программист Чем любишь заниматься , а люблю ходить на рок концерты и хочу освоить фортепиано
ты сам живешь, есть пиво я не люблю собака и коты а у вас кто то есть 
ахах интересная рыбалка, это круто
нет у меня есть муж, бывает
питон а вы потон, а я скорпион
я тоже, нет а кто это 
я не Верв, нет
мн, я Аня да
Важно, рамштайн
да, не очень
БОНИ И БЕЛЛА, тоже программист
привет, надеюсь не глупый у меня собеседник  отличнодела как твои просто не люблю глупых людей расскажи о себе
круто, у нас тоже отличная погода а я сварщик люблю плавать но время для этого есть только в выходные
увлекаюсь музыкой брассом, сварщиком в цеху
круто люблю вкусно поесть, и послушать хорошую музыку неее
я не смотрю фильмы молодец, да это люблю
детективы, Привет
Я женщина Норм а у вас, У меня двое детей а у вас есть дети
Увлекаюсь рукоделием Работаю няней а вы, Да все по чутьчуть слушаю Люблю сыр очень
Сыр, Да угадали
Да а вы женаты, Приятно было познакомиться
Да люблю, добрый день
как ваши дела, Алина
тоже хорошо только с работы ноги притянула взаимно, морально я учитель младших классов в этом году первйкласс отличный выбор профессии
дааа в школе детвора еще и дома двое порой силне хватает а у вас есть дети, американо это мой любимый кофе что за животные
у нас шиншилла, Привет
Вадим А вас, Вообще по жизни я планирую стать Врачом поэтому сейчасобучаюсь на 2 курсе Сколько вам лет
Какими танцами вы занимаетесь, Прошу прощения
Очень интересно Как вы относитесь к животным, О да спасибо что поинтересовались Недавно мы завеличудесную собаку Мои братья ее просто обожают
Да у меня три брата, Это так кажется только со стороны иногда это большаяпроблема Я не женат
Это очень здорово Я тлюблю вкусно покушать Жаль некому кормить  Любите путешествовать, Ой знаете с этой учебой у меня совсем нет свободноговремени так что  даже не знаю У вас есть какиенибудь интересные увлечения
Хммвозможно С вами очень приятно общаться Я рад что мы пересеклись, Лично я думаю что в жизни нужно поведать мир Жаль что вы не любите путешествовать это очень занимательно Вот отучусь и еще раз съезжу в Китай чудесная страна
Ох знаете всего не перечесть но там очень вкуснаяеда в продолжение нашего диалога , Привет
Я Ксю Нормально вот отдыхаю уже устала носить пузо беременное, Дочку сын уже есть
Даааа семья не маленькая у меня уже будет скоро А твои мама и папа разведены, Слава Богу Мы тоже вместе Просто сейчас так много разводяться Жаль 
Привет, Евегений Чем увлекаешься Артм
Увлекаюсь футболом Чем увелкаешься Артем, Я экономист я закончил Политех А ты 
Женился В Телеге уже сколько сидишь , А я три раза разводилась Но я оказывается девушка Но я не унываю что развелась
Самое главное не прерывать диалог советую тебе попробоватьБесбармак Азиатское блюдо Любишь обнимашки , Я тоже люблю обнимашки У нас столько общего ха Может то тоже мечтаешь как и я о космосе
Я себя люблю А ты, Детей любишь
Здравствуйте Познакомимся, Меня Даниил зовут А вас
25 лет живу в Новосибирской области А вы, Круто Мечтаю побывать в Москве Дядя там живт Вс никак не могу выбраться Работы много
я работаю кинологом у меня 6 собак А вы кем работаете, Немецкие овчарки
Единственное что мне не нравится это гулять но приходится, ха А вот кошек я не люблю
Писиют они везде да и пахнет потом вс Ну хотя можетмне просто такой кот попадался Да я очень люблю собак Художник Ммм, К сожалению кроме собак у меня на данный момент никогонет
Но в скором времени хочу вс исправить Прикольно, Будут дети буду тоже их любить А сейчас я люблюмузыку
Предпочитаю рок А вы, Тоже не плохо
Ездишь куда нибудь отдыхать Где понравилось, На Байкале здорово  Был на чрном море не оченьтам понравилось берег грязный Больше всего мне понравилось на Алтае Природа шикарная
Ладно Игорь Спасибо вам за диалог было приятно пообщаться Собачки просятся Удачи вам, Стоновись ровняйся ноги на ширене плеч
Ожимаюсь, Ага а Вы Моя новоизбранная тоже так считает
не, Каждый день По восемь тысяч раз
как сказать мне очень нравится это дело молодец, я тоже люблю смену обстановки Хожу на всякие развлекающие сеансы
И туда тоже, Танцы минус
Тоже ничего, А я видел
ДА они по улице пели и с шапочкой бегали, Щас буду делать следующее упражнение
Штанга, Привет
Как дела , Чем занимаешься 
Я работаю Давно в бассейн ходишь , А я наоборот не очень Как проводишь свободное время 
Люблю рыбалку, У тебя есть жена  дети 
Работаешь , Далеко ездишь 
Я с Украины Есть домашние животные, Ещ нет  снег идт
У меня только кот Вы живте в частном доме , Или в квартире  Как тебя зовут 
Обычный  рыжий, Сколько тебе лет 
И у тебя еже трое детей, И зимой рыбачу обожаю рыбу
У вас холодно  Какое у тебя хобби , Круто Было приятно познакомится
Я выращиваю цитрусовые, Привет Что делаешь Я вот готовлю обожаю это дело вечноу плиты
А я работаю учителем люблю свою работу и детей Уменя кстати есть сын а у тебя Я из Москвы а ты, А я домосед очень сильно мечтаю о большом доме хочуотдельную комнату для своего хобби Я рисую а тычем увлекаешься
Привет Как дела Как день проходит, Как Вас зовут Меня Юля Мне 21 год
Люблю бегать по утрам Ходить в кино Есть мороженое И очень люблю вышивать Даже мечтаю открыть своюфабрику А ты что любишь Какие увлечения, Фабрику по пошиву одежды Я учусь на модельера Я уже придумала кучу новой одежды с моей фирменнойвышевкой Уверена что все получится Я очень трудолюбивая
Вот только с моей трудолюбивостью я превращаюсь втрудоголика Совсем нет времени на личную жизнь ая хочу семью, В этом году заканчиваю Живопись мне нравится Частохожу в галереи на выставки Но рисовать не получается Точнее получается но как то не очень
Ой мой автобус подошл В педагогическом на худграфе Рада была пообщаться Всего хорошего, Привет
Как тебя зовут, Очень приятно Меня Ксения У меня куму зовут Лена будет легко запомнить
Прикольно ты перепутал , Деньги считаю А ты
Ходишь или бегаешь, А для чего
Ой у меня свободного времени почти не остается уменя двое детей Сейчас просматриваю робили БизнесМолодость нравятся их идеи Ролики, 5 и 6 лет пока в детском саду А тым чем кроме хотьбызанимаешься
Ну пока Жаль что ты уходишь Может еще поболтаем, У меня животных нет была собака но пришлось ее отдать Сколько тебе лет
А где ты учился, О круто а я с дипломом финансиста
Не зря же говорила что деньги считаю, Раньше на фирме считала сейчас дома
Я сейчас ищу удаленную работу хочу запустить одинпроект нужен опыт и чуть подучиться А ты чем планируешьпосле Сочи заняться, В фитнесзале
В Сочи за победой или поучавствовать, Привет
Я уже давно закончил школу, Да Я уже успел выйти замуж и развестись Расскажи о себе
А я водитель, Ну да Интересно
Можно побывать в разных городах, Ага
В Шуе, Ивановская область
Не люблю шум больших городов, Больше люблю уединенные места Поэтому живу в доме на окраине леса
Привет, Как дела Чем занимаешься
Ты тоже студент  Здорово У меня уже сегодня всезакончилось на кого учишься, А я будущий адвокат Но езжу на пары на машине купилдесятку люблю этих железных коней Ты на метро 
А девушку найти у вас можно  В моем городе хотьи есть метро с хорошими девчонками прям беда, Прекрасно  Тогда я хватаю самый лучший торт мойсамый любимый и еду к вам Что еще можешь про себярассказать 
Здорово  как на все у тебя времени хватает Я думаю тебе стоит как нибудь взять фотик красивую девчонкуи мотнуть в горы а страх высоты можно считать захватываниемдуха от красоты, Много путешествуешь
А от меня ближайшее море километрах в 300 но купатьсяв нем можно только жарким летом Какая страна тебебольше всего понравилась , А люди где самые дружелюбные
Хей привет, Как зовут
Саня, Сколько лет Анатолий Работаю
Агент по продажам я, Мн Недавно ребенок появился
Ого поздравляю, Есть хобби Не особо
Я предпочитаю активный отдых, Путешествовать люблю и серфить по волнам Конфеты готовишь  Я просто так их обожаю
Здравствуйте, Любите классику
Из Йошкаролы, А чем занимаетесь
Овощные Не думал об этом, Классно
Да, У вас есть домашние животные
Привет, Как дела
О и как успехи, очень жаль А у меня вс отлично потому что погода хорошая каклетом 
Я из горной Ингушетии хотя в горах не была А ты, Приятно
Привет, Кем вы работаете
Круто а я вот пока безработный Зато в свободноевремя подтягиваются свой английский  Вы в отпуске давно были, Я бы с удовольствием сходил бы в отпуск хоть я ибезработный парадокс Харлампий а вас 
Очень приятно вы любите играть в футбол, привет
чем занимаешься, бисером вышиваю как тебя зовут
Аня, фильмы люблю смотреть исторические а ты
с тремя детьми особо увлечениям время не уделитьк сожалению спорт это хорошо, любишь животных
муж запрещает мне кошку завести  а я их так люблю, ты работаешь
нет ладно дети отвлекают мне пора удачи и зароботка, Эй привет Как поживаешь
Очень круто Тачилу прикупил, Вот сейчас пойдем с пацанами обмывать
Не я седаны люблю Быху взял старую но огонь А ты чем занимаешься, Молодца А мне вот некогда все
Работа потом друзья Теперь машину надо подшаманить Я слесарь Если что обращайся, привет
из города и в городе живу, тоже в России экстремалить
на машине, это печально круто
а я люблю рубу и собак рыбу, ой злая наверное
Привет, Ваня учусь в 7 школе у меня есть собака но папамне не разрешает разговаривать с незнакомыми
Вы учитель  а у меня в школе любимый учитель учительматематики папа говорит нужно уметь считать деньги он работает инкассатором, Да конечно Я думаю что существует магия чисел
добрый день, я марина веселый человек
люблю делать подделки а вы, люблю кошек
Мое хобби  поделки очень у меня растет дочь она студентка уже, кто вы по знаку задиака
Привет Как тебя зовут, Собираюсь пойти прогуляться Что ещ делать на пенсии А ты чем
Есть походы в магазин и к внукам Ухты интересное увлечение А кем ты работаешь Или учишься ещ, Кем
Я тоже думаю пойти подработать продавцом Но возьмутли меня Да и я инженер по образованию не знаю смогули, Да не слитно много у меня ранняя пенсия 55 лет А сыну и дочери 25 лет
Замечательный возраст А ты замужем, Здорово А чем ещ увлекаешься
Я из России так ты тоже наверное, Здравствуй Довай познакомимся Я  Антон
Лена очень приятно Давай с самого начала договоримсяне прерывать наш разговор раньше времени Ведь хочетсяузнать друг о друге побольше Ты к примеру где работаешь, А я библиотекарь Очень интересная скажу тебе работа Хотя многие считают ее скучной и однообразной Ночерез твои руки проходит столько книг И в них стольковсего загадочного ценлые миры целые миры А ты любишь читать И кто у тебя любимый писатель
Я в последнее время увлекся молодым писателем Валиулиным Он очень образно и здорово пишет в жанре фэнтези ну прямо ощущаешь себя в тех мирах которые он описывает А муж у тебя технарь, Да извини не увидел твоего последнего вопроса Детиу меня есть двое И тоже очень канительно возитьсяс ними А ведь у меня кроме работы есть и свои маленькиеувлечения люблю к примеру вязать как это ни страннотебе покажется Время на свои какието увлечения у тебя остается
Признаюсь часто закрываюсь в своей комнате от всех должно же быть у человека личное время хоть немного и пишу статейки которые печатает местная газетка Ржевская правда  То бишь живу я во Ржеве ЭтоТверская область А ты где живешь, Отлично Знаю и люблю ваш город Кстати ты наверноечиттала Пушкина Домик в Коломне 
Ну у тебя еще все впереди прочитаешь До скорой встречи Спасибо за общение, Привет
Нормально Чем занимаешься  Ау, А я социальный работник
Нет но у меня большая семья, Как дети я люблю детей
Там красивоособенно летомя люблю лето, Привет
Как у тебя дела  Чем занимаешься, Прекрасно Я просто обожаю их они цветы нашей жизни
У меня все хорошо погода утром была просто чудесной Нет меня данный факт никак не смущает я вот наоборотженат и очень люблю свою жену Меня ничего не испугало просто параллельно смотрю новую книгу которую недавнокупил Просто обожаю их А вы любите книги, Простите за нескромный вопрос но сколько вы получаетеза одну книгу Я очень хочу играть в рок группепотому что просто обожаю играть на гитаре Я из Москвы у меня жена а также британская кошка Люба и лабрадорДжесси А у вы как живете и где Как вы относитесь к спорту Занимаетесь чемто
Привет как жизнь, Ого так вы теперь бабушка или дедушка
Да все серые будни менеджера среднего звена однаотдушина верный пс, Стыдно признать мне 45 стукнуло
Я так то спортом увлекаюсь Дети есть, Вот на днях старший 10 лет заявляет папа а тыокеан видел
Я аж оторопел И правда всю жизнь мечтал да все както за бытовухой все на второй план, Ну и в 50 лет не каждому датся дедом стать так чтоне все ещ потеряно
Приветпривет , Как тебя зовут
Я Ольга Вам сколько лет, Мне 42 У вас есть дети
О у меня двое но вот внуков пока нет Я в школеработаю закачивала филологический факультет А вы, о обычно это женская профессия нравиться чем увлекаетесь
Приветне хочешь выпить Может сходим в бассейн очень хочу научиться плавать, Кем ты работаешь У меня двое братьев они работают аниматорами несмог бы работать аниматором 
Давай только чтоб орехов в меню не было а то у меняаллергия  У тебя есть мечта Сплю и вижу как я разбогател, Привет
Работаю в магазине в саду а ты, Приятного Сладкоежка
У меня двое детей тоже сладкое любят а я им люблюкрючком вязать Хорошая профессия людям помогать, Здоровоу меня нет братьев и сестр
ПРИВЕТ, я люблю посещать музеи ЛЮБИШЬ ТЕАТРЫ
Я ЛЮБЛЮ МУЗЫКУ ГДЕ РАБОТАЕШЬ, ТЫ ЛЮБИШЬ ЖИВОТНЫХ
У МЕНЯ ДВА ПОПУГАЙЧИКА, А Я МЕЧТАЮ О ЖЕНЕ ДА
Привет, Можешь рассказать о себе
Ты работаешь учителем, Я тоже работаю учительницей По иностранному языку
Мне очень нравится эта работа потому что я многопутешествую по разным странам Я очень люблю путешествовать Английский  Еще у меня есть хобби, Я очень люблю рисовать А у тебя есть хобби
Это здорово, доброе утро как у вас настроение
прекрасное как и всегда после утренней прогулки сосвоими собаками чем занимаешься, не смотря на то что у меня много собак я каждую люблюпо собенному и для кадой пеку особенные печеньки хотя конечно предпочитаю играть в танки а у тебякакие есть хобби
а я предпочитаю активный отдых навеликах и роликахкатаюсь не нету семьи я ж только что закончил учебу в институтеи только что начал работать врачом а у тебя как обстоят дела, ну раз легко было значит ты одаренный что еще новенькогорасскажешь
это дело каждого главное чтобы тееб нравилось тебе, Привет
Расскажи о себе Чем увлекаешься Я лично люблю читать Возле моря, Мне нравится море А семья есть
У меня есть братья Кем ты работаешь, Я лично флорист люблю цветы
Чем ещ занимаешься У меня есть кошки очень люблю их у вас есть животные , Очень жаль А сколько вам лет 
Я не люблю говорить о политике, Почему А с какого вы города 
Я вообще с Украины, Мелитополь
Одесса  прекрасный город, Привет
Расскажи о себе Я помогаю родителям на ферме, Люблю смотреть аниме
Нет сажаем много клубники, Хочу уехать в сша чтобы там выращивать клубнику круглыйгод Нет а утеря У тебя
Пойду родителям помогу, Привет
Любишь готовить Я да мое любимое блюло пицца, Ещ у меня есть хобби  химия хожу на кружок
Положительно для спокойных людей очень хорошее влияниеоказывает я по натуре спокойный, Я сейчас в отношениях с девушкой думаю покататьсяна лошадях
Я нет спокойный человек Я больше читать люблю книги всякие Это слишком сложно скалолазание, Интересный ты человек Я нет такое не для меня Я очень домашний Ладно Пока
Привет, Познакомимся Я инструктор по вождению
Есть семья дети, Плавание А ты
Привет Чем увлекаешься, Свою супругу и собак
Неа но я хорошо готовлю пасту, Нет не работаю супруга пашит хах У меня алергия на кошел жуть
По петь в караоке, Очень
Привет Как дела Рад знакомству, Чем занимаешься Я собираюсь прокатиться на мопеде мое хобби
Какой тренировки, Кому чай а я по пельменям  мне их бабушка готовит Ты учишься
Я в школе и мечтаю стать полицейским А ты кем будешь Петь кстати любишь Я пою попсу когда есть свободное время, Я тоже люблю но животных у меня нет
Гулять по вечерам тоже люблю когда тепло, Удачи Было приятно
Ок Привет, Я тоже очень рад знакомству Ты откуда
Я из не особо большого города Из Курска У тебя есть какоето домашнее животное, Погода не радует сегодня шел снег а у тебя как тампогода
Огохолодновато однако, О а можно задать тебе вопросик ты занимаешься каким то спортом или может путешествуешь  Я работаю инженером и очень люблю компьютерные игры А ты кем работать или где учишься
Добрый вечер  вы не против новых знакомств, Что ж отлично Пусть меня и согревает мой кот ноя чувствую себя немного одиноким  а как вы проводитевремя И сколько времени в вашей стране сейчас ВЕвропе сейчас на  39 
В свободное время люблю пиво попить , Ахахахах а у меня к сожалению нет жны  приходитсядаже самому готовить еду  Но я приноровился и дажеполюбил это 
Ох я из очень религиозной семьи у нас запрет наспиртное я даже никогда его не пробовал , Мо любимое блюдо в собственном исполнении утка попекински  ох вы прямо закидываете меня вопросами Летом я планирую поездку в другую страну по работе я фотограф а у вас какие планы Расскажете о себечто нибудь Мо любимое блюдо в собственном исполнении утка попекински  ох вы прямо закидываете меня вопросами Летом я планирую поездку в другую страну по работе вызвали для фотографирования модельного показа ау вас какие планы Расскажете о себе что нибудь
Привет, Я Валера Как тебя зовут
Очень приятно Ты любишь читать, Каким спортом увлекаешься
Работаешь учится Здорово иметь жену гимнастку, По гимнастике
Это вот не радует, А я работаю программистом
Люблю свою работу Не то слово А главное хорошо платят, У меня много друзей собираемся с ними по выходным У меня большей дом
Привет, Я работаю врачем но не люблю свою работу большелюблю проводить время с женой и 3мя детьми
А ты чем , Я тоже люблю кататься на велосипеде нет а у вас
Ойжто очень круто это, Привет Познакомимся
Интересуюсь искусством Фактически я художник Люблю цветы и животных, Я на фрилансе сейчас Работаю в интернете
О книги это хорошо Какой жанр предпочитаешь, Книги о Гарри  мои любимые Раза на 4 уже перечитаны
Последняя стоит на полке никак времени не найду дляне Я ещ люблю готовить, Готовка  это прям мое
Домашние говорят неплохо получается в пору идтив шеф послов Домашние говорят неплохо получается в пору идтив шеф повора, А каким спортом занимаешься
Ну это все пройдт, Привет
Как дела Люблю новые знакомства, Макс Просто обожаю свой институт Надеюсь его закончить 
О на 5 уже Скоро диплом и вперд в новую жизнь ссиней картонкой и багажом знаний, А ещ у меня есть систер Мечтает поступить в тотже универ
Инженер ПГС А что все обо мне да обо мне Давайтео вас Кем вы работаете, О это же здорово
Скажите как вы относитесь к бананам Я от них простобез ума Вот сейчас с вами разговариваю а думаю отом как бы сейчас съел бы килограммчик другой, Курсы английского это превосходно У меня просто уймадрузей И половина помешана на английском Представляете
Никак не могу приучить их к своему любимому хобби рыбалке Английский чисто на любительское уровне Нов школевсегда была пятрка, Привет
Нормально Твои как Занимаюсь бисером в свободноеот детей время, Ого Смотрю ты как и я очень рано свешал себя узамибрака Я работаю секреторем Другой мнооо Много В ты чем занимаешься
Это очень хорошая профессия Я как и ты сильно люблюсвоих детей, Это все дядьки взрослые придумали 2 сына и дочь
Это Эренбург хорошо, Привет ты любишь книги
я в школе пока  ненавижу читать а вечно задаютпо 100 страниц, люблю играть в 
извини интернет пропал чтото нет братьев нет и сестер есть рыжая подружка, даа есть шиншилла Зяма зараза сьел как то кабельинтернета а у тебя есть живность
мечтаю избавить от вредных привычек а то папа мойполицай  гоняет на каждом углу сколько тебе лет, ого взрослый дядька
Привет, Сюрпризы Это хорошо Я люблю собак и кошек так каквыросла в деревне А ты в городе живешь Кем работаешь
бывает, А я работаю в ресторане
Я хорошо готовлю и я повар что любишь кушать, Серьезное блюдо я один раз приготовила плов молодомучеловеку и 3 года уже замужем Мечта есть Хочу в Норвегию
это страшно, но мечту надо осуществить
Пойду готовить скоро муж приедет, Привет
Как жизнь, Работаешь
В кафе Сейчас обедаю пиццу ем  А тво любимоеблюдо какое, Да очень  А ещ люблю фрукты овощи Уже жду лета арбузов хочется  и на море кошки нет а у тебя
Я бы хотела завести собаку на счт моря у нас этообщее желание Отдохнуть охота, Если есть возможность лечу в тплые края а ты А я не умею Научишь
Я вообще обожаю пробовать все новое Жизнью надо наслаждатьсяпо полной , Привет представляешь вчера в окне НЛО видел крутобыло оно огоньками сверкало 
Да вот задумался что надо бы теперь попутешествоватьпо местам уфологической славы Может подскажешь чего Но важно чтобы там было тепло, Это тоже здоро Я в принципе люблю узнавать все новое но вот все равно тплый климат это наше все  Хотяот меня 3 жены уже из за этого ушло 
Да не говори надо искать  а работаю там сям кудав путешествиях занест А у тебя какой род деятельности, Ооо научный сотрудник
Самые разные на самом деле главное чтобы была интереснаяинформация Я все схватываю достаточно быстро Побегу я спасибо за тво время и удачи, Привет
Отлично кошек тискаю А ты, Скоро поеду в приют Я там волонтр
Я думаю что книги это скучно Я больше по драйву, Помогаю у мамы с папой в больнице Они врачи а ялюблю помогать людям
Ну там  В горы слазить на авто погонять с палаткойв лесу пожить Фрилансер, Типа того
Привет, Как дела Чем занимаетесь
Неее точно не меня Мне по барам сейчас ходить некогда учеба А вот летом  Сейчас только в кино иногда успеваю выбраться А ты любитель посидеть в баре, Я в выходные обычно читаю Люблю английскую классику особенно Джека Лондона В эти выходные пойду с сестренками в кино Совсемредко видимся из за учебы
2 сестренки В малине я рос О лотерея это интересно Какой самый большой выигрыш, Привет Я на рыбалку собираюсь Люблю это дело
Ты чем занят, Что за работа Да я ещ рыбу есть люблю
И вообще люблю есть , И как заработок
Спортсмен мастер спорта по плаванию, Круто
Да рано встаю бегаю утром потом в бассейн на тренировку Любила бегать  это круто, Да есть намного
Ладно удачи тебе здоровья твоему киндеру а я дальшесобираться , Привет
Пиши по руски я только мечтаю в США попасть, Очень люблю аниме а ты
Есть семья У меня родители клубникой занимаются я е очень люблю, Да большой они фермеры
Привет, Замечательно У тебя
Да швабры собираю А ты, Вс таксобрать просто надо Кем работаешь
В библиотеке Детицветы жизни Есть мечта, А я на рыбалку люблю ездить
Чистый воздух, Надо бежать
Привет, Отлично а ваши
Я уже старушка чтобы чем то заниматься Разве чтодвумя прекрасными кошечками А вы, Какие ваши увлечения У меня есть дача Люблю чемто занимать себя на огороде Всегда чтото вкусненькое растт
Привет Рад новому знакомству Ты откуда, Я в Москвекак дела
У меня вс плохо вчера расстался с девушкой мы сней вместе в медицинском институте учимся вот невезт мне с ними я вот блондин вымокий красивыйа толку  Я увлекпюсь футболом и очень люблю пить пиво а лучшевсего это совместить, Та учусь и подрабатываю в автосалоне просто естьмечта купить машину  вот понемногу коплю А ты
